Date,Open
2021-10-11,3450.0
2021-10-12,3488.0
2021-10-13,3538.0
2021-10-14,3563.0
2021-10-15,3588.0
2021-10-18,3600.0
2021-10-19,3625.0
2021-10-21,3588.0
2021-10-22,3550.0
2021-10-25,3588.0
2021-10-26,3550.0
2021-10-27,3600.0
2021-10-28,3563.0
2021-10-29,3588.0
2021-11-01,3625.0
2021-11-02,3588.0
2021-11-03,3488.0
2021-11-04,3625.0
2021-11-05,3625.0
2021-11-08,3600.0
2021-11-09,3525.0
2021-11-10,3438.0
2021-11-11,3563.0
2021-11-12,3638.0
2021-11-15,3550.0
2021-11-16,3525.0
2021-11-17,3613.0
2021-11-18,3600.0
2021-11-19,3588.0
2021-11-22,3675.0
2021-11-23,3613.0
2021-11-24,3563.0
2021-11-25,3613.0
2021-11-26,3663.0
2021-11-29,3550.0
2021-11-30,3625.0
2021-12-01,3500.0
2021-12-02,3538.0
2021-12-03,3600.0
2021-12-06,3575.0
2021-12-07,3588.0
2021-12-08,3638.0
2021-12-09,3625.0
2021-12-10,3600.0
2021-12-13,3600.0
2021-12-14,3563.0
2021-12-15,3575.0
2021-12-16,3650.0
2021-12-17,3613.0
2021-12-20,3550.0
2021-12-21,3575.0
2021-12-22,3588.0
2021-12-23,3525.0
2021-12-24,3550.0
2021-12-27,3525.0
2021-12-28,3525.0
2021-12-29,3538.0
2021-12-30,3550.0
2022-01-03,3550.0
2022-01-04,3538.0
2022-01-05,3575.0
2022-01-06,3538.0
2022-01-07,3513.0
2022-01-10,3538.0
2022-01-11,3550.0
2022-01-12,3525.0
2022-01-13,3575.0
2022-01-14,3538.0
2022-01-17,3625.0
2022-01-18,3588.0
2022-01-19,3588.0
2022-01-20,3550.0
2022-01-21,3588.0
2022-01-24,3638.0
2022-01-25,3600.0
2022-01-26,3650.0
2022-01-27,3738.0
2022-01-28,3813.0
2022-01-31,3888.0
2022-02-02,3763.0
2022-02-03,3738.0
2022-02-04,3725.0
2022-02-07,3825.0
2022-02-08,3800.0
2022-02-09,3850.0
2022-02-10,3850.0
2022-02-11,3888.0
2022-02-14,3850.0
2022-02-15,3900.0
2022-02-16,3963.0
2022-02-17,3938.0
2022-02-18,3913.0
2022-02-21,3925.0
2022-02-22,3913.0
2022-02-23,3963.0
2022-02-24,3863.0
2022-02-25,3863.0
2022-03-01,3838.0
2022-03-02,3825.0
2022-03-04,3850.0
2022-03-07,3775.0
2022-03-08,3813.0
2022-03-09,3788.0
2022-03-10,3850.0
2022-03-11,3863.0
2022-03-14,3825.0
2022-03-15,3900.0
2022-03-16,3900.0
2022-03-17,4000.0
2022-03-18,3988.0
2022-03-21,3838.0
2022-03-22,3850.0
2022-03-23,3838.0
2022-03-24,3850.0
2022-03-25,3975.0
2022-03-28,3938.0
2022-03-29,3988.0
2022-03-30,3975.0
2022-03-31,3963.0
2022-04-01,3950.0
2022-04-04,3913.0
2022-04-05,3900.0
2022-04-06,3900.0
2022-04-07,3838.0
2022-04-08,3900.0
2022-04-11,3850.0
2022-04-12,3838.0
2022-04-13,3838.0
2022-04-14,3863.0
2022-04-18,3838.0
2022-04-19,3813.0
2022-04-20,3825.0
2022-04-21,4000.0
2022-04-22,4100.0
2022-04-25,4100.0
2022-04-26,4125.0
2022-04-27,4138.0
2022-04-28,4388.0
2022-05-09,4313.0
2022-05-10,3913.0
2022-05-11,4050.0
2022-05-12,3988.0
2022-05-13,3938.0
2022-05-17,3900.0
2022-05-18,3988.0
2022-05-19,3900.0
2022-05-20,3975.0
2022-05-23,4025.0
2022-05-24,3975.0
2022-05-25,3950.0
2022-05-27,4000.0
2022-05-30,4100.0
2022-05-31,4138.0
2022-06-02,4163.0
2022-06-03,4138.0
2022-06-06,4100.0
2022-06-07,4100.0
2022-06-08,4113.0
2022-06-09,4200.0
2022-06-10,4138.0
2022-06-13,4000.0
2022-06-14,4000.0
2022-06-15,4063.0
2022-06-16,4250.0
2022-06-17,4088.0
2022-06-20,4050.0
2022-06-21,4150.0
2022-06-22,4100.0
2022-06-23,4075.0
2022-06-24,4100.0
2022-06-27,4200.0
2022-06-28,4075.0
2022-06-29,4050.0
2022-06-30,4000.0
2022-07-01,3938.0
2022-07-04,3788.0
2022-07-05,3725.0
2022-07-06,3825.0
2022-07-07,3750.0
2022-07-08,3775.0
2022-07-11,3738.0
2022-07-12,3738.0
2022-07-13,3700.0
2022-07-14,3625.0
2022-07-15,3650.0
2022-07-18,3613.0
2022-07-19,3675.0
2022-07-20,3775.0
2022-07-21,4000.0
2022-07-22,3963.0
2022-07-25,3938.0
2022-07-26,3913.0
2022-07-27,4025.0
2022-07-28,4013.0
2022-07-29,4113.0
2022-08-01,4100.0
2022-08-02,4000.0
2022-08-03,4088.0
2022-08-04,4150.0
2022-08-05,4138.0
2022-08-08,4125.0
2022-08-09,4213.0
2022-08-10,4175.0
2022-08-11,4313.0
2022-08-12,4263.0
2022-08-15,4225.0
2022-08-16,4275.0
2022-08-18,4388.0
