ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501274,16/10/2024 03:00,,,,,44,22,1,SE,1
501274,16/10/2024 04:00,,,,,50,23,1,SE,1
501274,16/10/2024 05:00,,,,,54,23,1,N,2
501274,16/10/2024 06:00,,,,,57,23,4,N,2
501274,16/10/2024 07:00,,,,,61,22,4,N,2
501274,16/10/2024 08:00,,,,,65,21,4,SE,5
501274,16/10/2024 09:00,,,,,68,20,4,SE,5
501274,16/10/2024 10:00,,,,,74,19,4,SE,5
501274,16/10/2024 11:00,,,,,83,17,4,SE,7
501274,16/10/2024 12:00,15.0,23.0,40.0,96.0,90,16,4,SE,7
501274,16/10/2024 13:00,,,,,94,15,3,SE,7
501274,16/10/2024 14:00,,,,,96,15,3,SE,4
501274,16/10/2024 15:00,,,,,95,15,3,SE,4
501274,16/10/2024 16:00,,,,,94,15,5,SE,4
501274,16/10/2024 17:00,,,,,92,15,5,SE,1
501274,16/10/2024 18:00,,,,,92,15,1,SE,1
501274,16/10/2024 19:00,,,,,90,15,3,SE,1
501274,16/10/2024 20:00,,,,,89,15,3,N,3
501274,16/10/2024 21:00,,,,,86,15,3,N,3
501274,16/10/2024 22:00,,,,,86,15,4,N,3
501274,16/10/2024 23:00,,,,,81,17,4,N,2
501274,17/10/2024 00:00,,,,,68,19,4,N,2
501274,17/10/2024 01:00,,,,,63,20,4,N,2
501274,17/10/2024 02:00,,,,,59,21,4,N,2
501274,17/10/2024 03:00,,,,,60,22,4,N,2
501274,17/10/2024 04:00,,,,,60,22,4,N,6
501274,17/10/2024 05:00,,,,,59,22,3,N,6
501274,17/10/2024 06:00,,,,,62,22,3,N,6
501274,17/10/2024 07:00,,,,,64,21,3,N,6
501274,17/10/2024 08:00,,,,,67,20,3,N,6
501274,17/10/2024 09:00,,,,,69,20,3,N,6
501274,17/10/2024 10:00,,,,,75,19,1,E,5
501274,17/10/2024 11:00,,,,,85,17,1,E,5
501274,17/10/2024 12:00,14.0,22.0,59.0,93.0,90,16,1,E,5
501274,17/10/2024 13:00,,,,,92,16,1,E,5
501274,17/10/2024 14:00,,,,,90,16,1,E,5
501274,17/10/2024 15:00,,,,,91,16,1,E,5
501274,17/10/2024 16:00,,,,,92,15,1,N,4
501274,17/10/2024 17:00,,,,,92,15,3,N,4
501274,17/10/2024 18:00,,,,,93,15,3,N,4
501274,17/10/2024 19:00,,,,,93,14,3,N,4
501274,17/10/2024 20:00,,,,,93,14,3,N,4
501274,17/10/2024 21:00,,,,,92,14,1,N,4
501274,17/10/2024 22:00,,,,,92,14,0,N,3
501274,17/10/2024 23:00,,,,,84,17,0,N,3
501274,18/10/2024 00:00,,,,,74,19,1,N,3
501274,18/10/2024 03:00,,,,,65,22,3,N,3
501274,18/10/2024 06:00,,,,,64,22,4,NW,6
501274,18/10/2024 09:00,,,,,73,20,3,NW,6
501274,18/10/2024 12:00,14.0,22.0,64.0,96.0,96,17,3,NE,2
501274,18/10/2024 15:00,,,,,95,16,0,NE,2
501274,18/10/2024 18:00,,,,,92,15,1,E,4
501274,18/10/2024 21:00,,,,,94,14,3,E,4
501274,19/10/2024 00:00,,,,,76,19,1,NE,4
501274,19/10/2024 03:00,,,,,69,21,4,NE,4
501274,19/10/2024 06:00,,,,,72,22,60,NE,4
501274,19/10/2024 09:00,,,,,83,19,60,E,4
501274,19/10/2024 12:00,16.0,22.0,69.0,99.0,97,17,5,E,4
501274,19/10/2024 15:00,,,,,99,17,45,E,4
501274,19/10/2024 18:00,,,,,99,16,45,E,4
501274,19/10/2024 21:00,,,,,97,16,5,NE,2
501274,20/10/2024 00:00,,,,,84,19,3,NE,2
501274,20/10/2024 03:00,,,,,71,21,3,NE,2
