Tanggal;Terakhir
22/09/2020;5.300
21/09/2020;5.475
18/09/2020;5.575
17/09/2020;5.575
16/09/2020;5.650
15/09/2020;5.675
14/09/2020;5.750
11/09/2020;5.475
10/09/2020;5.375
09/09/2020;5.775
08/09/2020;5.975
07/09/2020;5.850
04/09/2020;5.925
03/09/2020;5.975
02/09/2020;6.075
01/09/2020;6.125
31/08/2020;5.950
28/08/2020;6.225
27/08/2020;6.300
26/08/2020;6.350
25/08/2020;6.250
24/08/2020;6.000
19/08/2020;6.100
18/08/2020;6.150
14/08/2020;6.025
13/08/2020;6.050
12/08/2020;6.150
11/08/2020;5.975
10/08/2020;5.800
07/08/2020;5.800
06/08/2020;5.775
05/08/2020;5.700
04/08/2020;5.575
03/08/2020;5.500
30/07/2020;5.800
29/07/2020;5.700
28/07/2020;5.850
27/07/2020;5.875
24/07/2020;5.600
23/07/2020;5.700
22/07/2020;5.425
21/07/2020;5.300
20/07/2020;5.100
17/07/2020;5.175
16/07/2020;5.275
15/07/2020;5.275
14/07/2020;5.300
13/07/2020;5.250
10/07/2020;5.175
09/07/2020;5.250
08/07/2020;5.275
07/07/2020;5.050
06/07/2020;5.075
03/07/2020;5.000
02/07/2020;5.000
01/07/2020;4.990
30/06/2020;4.950
29/06/2020;4.940
26/06/2020;5.000
25/06/2020;5.025
24/06/2020;5.150
23/06/2020;4.790
22/06/2020;4.810
19/06/2020;4.880
18/06/2020;4.820
17/06/2020;4.900
16/06/2020;5.025
15/06/2020;4.720
12/06/2020;4.890
11/06/2020;4.690
10/06/2020;4.910
09/06/2020;5.275
08/06/2020;5.250
05/06/2020;4.850
04/06/2020;4.730
03/06/2020;4.860
02/06/2020;4.620
29/05/2020;4.470
28/05/2020;4.290
27/05/2020;4.110
26/05/2020;4.100
20/05/2020;4.070
19/05/2020;3.860
18/05/2020;3.720
15/05/2020;3.760
14/05/2020;3.950
13/05/2020;4.010
12/05/2020;4.010
11/05/2020;4.230
08/05/2020;4.200
06/05/2020;4.160
05/05/2020;4.220
04/05/2020;4.290
30/04/2020;4.460
29/04/2020;4.000
28/04/2020;4.150
27/04/2020;4.150
24/04/2020;4.280
23/04/2020;4.500
22/04/2020;4.490
21/04/2020;4.350
20/04/2020;4.370
17/04/2020;4.380
16/04/2020;4.210
15/04/2020;4.400
14/04/2020;4.570
13/04/2020;4.470
09/04/2020;4.670
08/04/2020;4.770
07/04/2020;5.125
06/04/2020;5.200
03/04/2020;5.025
02/04/2020;4.750
01/04/2020;4.610
31/03/2020;4.680
30/03/2020;4.600
27/03/2020;4.940
26/03/2020;4.470
24/03/2020;3.860
23/03/2020;4.150
20/03/2020;4.460
19/03/2020;4.790
18/03/2020;5.150
17/03/2020;5.525
16/03/2020;5.925
13/03/2020;6.350
12/03/2020;6.425
11/03/2020;6.825
10/03/2020;6.875
09/03/2020;6.575
06/03/2020;7.250
05/03/2020;7.600
04/03/2020;7.475
03/03/2020;7.200
02/03/2020;6.950
28/02/2020;7.275
27/02/2020;7.350
26/02/2020;7.650
25/02/2020;7.800
24/02/2020;7.775
21/02/2020;7.900
20/02/2020;8.000
19/02/2020;7.950
18/02/2020;7.825
17/02/2020;7.850
14/02/2020;7.825
13/02/2020;7.850
12/02/2020;7.800
11/02/2020;7.775
10/02/2020;7.725
07/02/2020;7.725
06/02/2020;7.700
05/02/2020;7.700
04/02/2020;7.525
03/02/2020;7.500
31/01/2020;7.550
30/01/2020;7.650
29/01/2020;7.800
28/01/2020;7.750
27/01/2020;7.725
24/01/2020;7.925
23/01/2020;7.775
22/01/2020;7.800
21/01/2020;7.700
20/01/2020;7.625
17/01/2020;7.725
16/01/2020;7.550
15/01/2020;7.650
14/01/2020;7.750
13/01/2020;7.725
10/01/2020;7.725
09/01/2020;7.700
08/01/2020;7.500
07/01/2020;7.600
06/01/2020;7.600
03/01/2020;7.725
02/01/2020;7.750
30/12/2019;7.675
27/12/2019;7.750
26/12/2019;7.800
23/12/2019;7.725
20/12/2019;7.700
19/12/2019;7.600
18/12/2019;7.525
17/12/2019;7.350
16/12/2019;7.350
13/12/2019;7.375
12/12/2019;7.300
11/12/2019;7.350
10/12/2019;7.375
09/12/2019;7.250
06/12/2019;7.175
05/12/2019;7.175
04/12/2019;7.075
03/12/2019;7.175
02/12/2019;7.100
29/11/2019;6.975
28/11/2019;6.775
27/11/2019;6.900
26/11/2019;6.925
25/11/2019;6.975
22/11/2019;7.075
21/11/2019;7.175
20/11/2019;7.100
19/11/2019;7.150
18/11/2019;6.975
15/11/2019;6.950
14/11/2019;6.875
13/11/2019;6.875
12/11/2019;7.025
11/11/2019;7.050
08/11/2019;7.100
07/11/2019;7.000
06/11/2019;6.975
05/11/2019;7.200
04/11/2019;6.875
01/11/2019;6.975
31/10/2019;7.025
30/10/2019;7.025
29/10/2019;7.100
28/10/2019;7.000
25/10/2019;7.000
24/10/2019;7.225
23/10/2019;7.075
22/10/2019;6.825
21/10/2019;6.800
18/10/2019;6.775
17/10/2019;6.700
16/10/2019;6.625
15/10/2019;6.575
14/10/2019;6.600
11/10/2019;6.550
10/10/2019;6.525
09/10/2019;6.425
08/10/2019;6.500
07/10/2019;6.350
04/10/2019;6.400
03/10/2019;6.400
02/10/2019;6.525
01/10/2019;6.900
30/09/2019;6.975
27/09/2019;6.975
26/09/2019;7.100
25/09/2019;6.900
24/09/2019;6.950
23/09/2019;7.000
20/09/2019;7.075
19/09/2019;7.100
18/09/2019;7.200
17/09/2019;6.975
16/09/2019;7.000
13/09/2019;7.200
12/09/2019;7.150
11/09/2019;7.150
10/09/2019;7.050
09/09/2019;6.975
06/09/2019;7.050
05/09/2019;6.975
04/09/2019;6.925
03/09/2019;6.900
02/09/2019;7.175
30/08/2019;7.250
29/08/2019;7.075
28/08/2019;7.050
27/08/2019;7.025
26/08/2019;7.050
23/08/2019;7.175
22/08/2019;7.225
21/08/2019;7.225
20/08/2019;7.375
19/08/2019;7.350
16/08/2019;7.375
15/08/2019;7.400
14/08/2019;7.500
13/08/2019;7.350
