Date;Price;Open;High;Low;Vol;Change
09/03/2023;24532,00;24540,00;24565,00;24483,00;;-0.12%
09/01/2023;24562,00;24820,00;25220,00;24520,00;61.53K;-1.01%
08/31/2023;24812,00;25020,00;25060,00;24745,00;47.18K;-1.16%
08/30/2023;25104,00;25135,00;25425,00;24920,00;67.03K;-0.14%
08/29/2023;25139,00;24620,00;25195,00;24555,00;51.64K;2.17%
08/28/2023;24605,00;24620,00;24750,00;24450,00;32.66K;0.09%
08/25/2023;24583,00;24530,00;24785,00;24310,00;32.75K;0.03%
08/24/2023;24575,00;24700,00;24740,00;24450,00;39.41K;-0.55%
08/23/2023;24710,00;23795,00;24750,00;23790,00;33.68K;3.99%
08/22/2023;23763,00;23710,00;23830,00;23590,00;18.49K;0.44%
08/21/2023;23659,00;23130,00;23700,00;23040,00;18.19K;2.60%
08/18/2023;23060,00;23080,00;23240,00;23000,00;8.49K;0.08%
08/17/2023;23042,00;22800,00;23385,00;22725,00;12.48K;0.81%
08/16/2023;22856,00;22905,00;23170,00;22770,00;10.98K;-0.51%
08/15/2023;22973,00;22985,00;23080,00;22585,00;15.46K;-0.26%
08/14/2023;23034,00;23070,00;23155,00;22745,00;12.86K;-0.21%
08/11/2023;23082,00;23110,00;23245,00;22955,00;17.34K;-0.35%
08/10/2023;23164,00;23070,00;23395,00;23010,00;19.63K;0.41%
08/09/2023;23070,00;23170,00;23320,00;23025,00;22.05K;-0.38%
08/08/2023;23157,00;23540,00;23610,00;23080,00;20.50K;-1.86%
08/07/2023;23595,00;24095,00;24115,00;23515,00;16.46K;-2.02%
08/04/2023;24082,00;24065,00;24255,00;23650,00;9.50K;0.10%
08/03/2023;24059,00;24180,00;24255,00;23765,00;8.21K;-0.72%
08/02/2023;24234,00;24850,00;24985,00;24120,00;8.53K;-1.84%
08/01/2023;24688,00;25250,00;25255,00;24620,00;4.32K;-2.55%
07/31/2023;25335,00;24825,00;25345,00;24685,00;2.42K;1.91%
07/28/2023;24859,00;24685,00;24895,00;24610,00;3.42K;0.54%
07/27/2023;24726,00;25460,00;25680,00;24540,00;3.62K;-2.40%
07/26/2023;25333,00;25195,00;25560,00;25035,00;2.21K;0.58%
07/25/2023;25186,00;24850,00;25260,00;24840,00;4.14K;1.01%
07/24/2023;24934,00;25140,00;25230,00;24785,00;3.28K;-1.07%
07/21/2023;25204,00;25315,00;25425,00;25115,00;1.45K;-0.42%
07/20/2023;25310,00;25680,00;25820,00;25250,00;1.87K;-1.66%
07/19/2023;25736,00;25610,00;25805,00;25500,00;2.24K;0.52%
07/18/2023;25604,00;25390,00;25725,00;25330,00;2.01K;0.96%
07/17/2023;25361,00;25485,00;25485,00;25160,00;2.32K;-0.67%
07/14/2023;25531,00;25410,00;25580,00;25250,00;2.56K;0.98%
07/13/2023;25282,00;24665,00;25435,00;24660,00;2.79K;2.59%
07/12/2023;24643,00;23665,00;24695,00;23650,00;2.05K;4.37%
07/11/2023;23611,00;23665,00;23885,00;23555,00;1.56K;-0.28%
07/10/2023;23678,00;23605,00;23695,00;23290,00;1.77K;0.26%
07/07/2023;23617,00;23245,00;23685,00;23140,00;1.44K;1.73%
07/06/2023;23215,00;23670,00;23760,00;23060,00;1.98K;-2.15%
07/05/2023;23725,00;23440,00;23850,00;23315,00;1.94K;2.40%
07/04/2023;23168,00;23102,00;23267,00;23073,00;;-1.13%
07/03/2023;23433,00;23290,00;23595,00;23235,00;0.91K;0.41%
06/30/2023;23337,00;23090,00;23365,00;22880,00;0.84K;0.97%
06/29/2023;23112,00;23245,00;23400,00;22805,00;0.61K;0.12%
06/28/2023;23084,00;23110,00;23180,00;22790,00;36.53K;-0.28%
06/27/2023;23148,00;23025,00;23335,00;22980,00;37.59K;0.54%
06/26/2023;23024,00;22650,00;23140,00;22635,00;38.79K;2.11%
06/23/2023;22549,00;22475,00;22900,00;22340,00;26.19K;-0.53%
06/22/2023;22670,00;22925,00;22950,00;22405,00;22.58K;-1.52%
06/21/2023;23019,00;23430,00;23435,00;22725,00;20.35K;-1.82%
06/20/2023;23445,00;24440,00;24470,00;23315,00;20.46K;-2.56%
06/19/2023;24062,00;24198,00;24262,00;23962,00;;-0.56%
