Date;Price;Open;High;Low;Vol;Change
01/16/2023;24455;24413;24665;24087;;0.16%
01/15/2023;24415;24422;24445;24380;;-0.59%
01/13/2023;24561;24100;24630;23820;2.28K;1.52%
01/12/2023;24194;23725;24500;23720;2.42K;2.22%
01/11/2023;23669;23905;24345;23530;2.80K;-0.79%
01/10/2023;23857;23960;24085;23750;2.10K;-0.85%
01/09/2023;24062;24170;24440;23930;3.14K;-0.42%
01/06/2023;24164;23530;24235;23530;2.83K;2.39%
01/05/2023;23600;24080;24195;23455;2.30K;-2.23%
01/04/2023;24139;24415;24755;23930;1.61K;-1.10%
01/03/2023;24407;24450;24940;24305;2.42K;0.32%
01/02/2023;24328;24177;24387;24165;;0.50%
12/30/2022;24207;24330;24465;23900;0.75K;-0.84%
12/29/2022;24411;23875;24415;23840;0.58K;2.40%
12/28/2022;23840;24240;24275;23645;34.29K;-1.56%
12/27/2022;24217;24050;24495;23975;45.23K;0.67%
12/26/2022;24055;24008;24168;23968;;0.56%
12/23/2022;23920;23740;24095;23685;31.56K;1.26%
12/22/2022;23622;24195;24315;23550;46.20K;-2.36%
12/21/2022;24194;24395;24525;24055;36.77K;-0.32%
12/20/2022;24271;23180;24490;23050;72.52K;4.62%
12/19/2022;23199;23415;23625;23030;33.18K;-0.55%
12/16/2022;23328;23270;23445;22735;51.26K;0.10%
12/15/2022;23305;24180;24180;23155;61.90K;-3.44%
12/14/2022;24136;23965;24275;23605;51.52K;0.61%
12/13/2022;23990;23520;24390;23490;74.31K;2.51%
12/12/2022;23403;23650;23765;23320;39.13K;-1.32%
12/09/2022;23717;23305;23900;23140;53.44K;2.03%
12/08/2022;23246;22920;23425;22725;44.88K;1.41%
12/07/2022;22922;22350;23010;22255;51.54K;2.63%
12/06/2022;22335;22435;22780;22190;49.86K;-0.37%
12/05/2022;22417;23290;23690;22350;72.92K;-3.58%
12/02/2022;23250;22975;23475;22480;74.94K;1.79%
12/01/2022;22841;22410;23005;22240;73.64K;4.87%
11/30/2022;21781;21415;22410;21355;63.51K;1.61%
11/29/2022;21436;21130;21635;21060;46.73K;1.47%
11/28/2022;21125;21640;21815;21045;59.18K;-2.24%
11/25/2022;21609;21785;21880;21355;30.82K;0.47%
11/24/2022;21508;21637;21730;21488;;-0.08%
11/23/2022;21526;21260;21780;21095;20.92K;1.40%
11/22/2022;21229;21050;21555;21050;22.91K;0.79%
11/21/2022;21062;21175;21230;20790;14.22K;-0.63%
11/18/2022;21196;21195;21510;21065;9.37K;0.15%
11/17/2022;21164;21715;21715;20975;15.91K;-2.59%
11/16/2022;21726;21780;22325;21650;15.09K;0.15%
11/15/2022;21694;22170;22500;21630;19.50K;-2.57%
11/14/2022;22267;21905;22335;21530;11.28K;2.04%
11/11/2022;21822;21865;22305;21530;14.79K;-0.14%
11/10/2022;21853;21220;22080;21200;20.64K;1.75%
11/09/2022;21478;21620;21830;21210;18.98K;-0.83%
11/08/2022;21657;20990;21865;20720;18.01K;2.78%
11/07/2022;21072;20735;21200;20565;15.71K;0.73%
11/06/2022;20919;20570;21080;20435;68.48K;0.09%
11/04/2022;20900;19635;21070;19580;8.77K;6.75%
11/03/2022;19578;19345;19690;18965;5.26K;-0.86%
11/02/2022;19747;19770;20255;19360;4.38K;-0.41%
11/01/2022;19828;19260;20205;19260;4.54K;2.76%
10/31/2022;19296;19385;19405;19055;2.54K;-0.14%
10/28/2022;19323;19725;19765;19135;2.46K;-1.21%
10/27/2022;19559;19645;19645;19385;0.03K;0.07%
10/26/2022;19546;19395;19790;19395;0.15K;0.70%
10/25/2022;19410;19245;19460;19245;0.02K;0.84%
10/24/2022;19249;19460;19715;19080;0.11K;0.65%
10/21/2022;19124;18655;19425;18320;0.13K;2.02%
10/20/2022;18746;18460;18830;18460;0.03K;1.80%
10/19/2022;18414;18590;18590;18370;0.02K;-1.33%
10/18/2022;18663;18680;18830;18645;0.01K;-0.68%
10/17/2022;18791;18240;18545;18240;0.04K;3.55%
10/14/2022;18146;18920;19095;18105;0.04K;-4.46%
10/13/2022;18993;18920;19010;18890;0.17K;-0.09%
10/12/2022;19010;19215;19255;19030;0.20K;-2.79%
10/11/2022;19555;19605;19625;19550;0.08K;-0.64%
10/10/2022;19680;20220;20220;19600;0.04K;-3.15%
10/07/2022;20320;20765;20765;20250;0.15K;-1.92%
10/06/2022;20717;20885;20885;20705;0.12K;0.60%
10/05/2022;20594;21130;21130;20465;0.13K;-2.61%
10/04/2022;21145;20815;21190;20795;0.10K;2.48%
10/03/2022;20634;19495;20760;19475;0.03K;8.11%
09/30/2022;19086;18870;19095;18870;0.01K;1.74%
09/29/2022;18759;18940;18940;18560;0.04K;-0.64%
09/28/2022;18880;18365;18965;17895;83.80K;2.96%
09/27/2022;18337;18350;18785;18295;63.09K;-0.77%
09/26/2022;18480;18850;19045;18310;81.81K;-2.27%
