Date;Price;Open;High;Low;Vol;Change
09/07/2020;5850;5925;5950;5775;50.34M;-1.27%
09/04/2020;5925;5950;5975;5850;53.42M;-0.84%
09/03/2020;5975;6075;6150;5950;64.51M;-1.65%
09/02/2020;6075;6125;6200;6050;46.60M;-0.82%
09/01/2020;6125;5975;6125;5875;42.67M;2.94%
08/31/2020;5950;6225;6300;5900;111.41M;-4.42%
08/28/2020;6225;6275;6350;6200;37.83M;-1.19%
08/27/2020;6300;6350;6350;6200;46.73M;-0.79%
08/26/2020;6350;6250;6350;6175;39.35M;1.60%
08/25/2020;6250;6050;6275;6050;66.18M;4.17%
08/24/2020;6000;6050;6175;5925;66.24M;-1.64%
08/19/2020;6100;6175;6250;6075;32.26M;-0.81%
08/18/2020;6150;6025;6225;6025;57.99M;2.07%
08/14/2020;6025;6075;6100;5950;33.33M;-0.41%
08/13/2020;6050;6250;6250;6050;42.99M;-1.63%
08/12/2020;6150;6000;6275;5950;46.46M;2.93%
08/11/2020;5975;5825;6100;5800;58.99M;3.02%
08/10/2020;5800;5800;5825;5650;25.08M;0.00%
08/07/2020;5800;5700;5800;5625;28.61M;0.43%
08/06/2020;5775;5700;5875;5700;45.46M;1.32%
08/05/2020;5700;5550;5700;5450;66.92M;2.24%
08/04/2020;5575;5525;5600;5450;44.59M;1.36%
08/03/2020;5500;5850;5875;5450;129.86M;-5.17%
07/30/2020;5800;5725;5800;5625;26.32M;1.75%
07/29/2020;5700;5850;5850;5675;34.87M;-2.56%
07/28/2020;5850;5900;6000;5775;37.26M;-0.43%
07/27/2020;5875;5625;5875;5550;29.42M;4.91%
07/24/2020;5600;5700;5700;5550;33.30M;-1.75%
07/23/2020;5700;5475;5775;5425;72.91M;5.07%
07/22/2020;5425;5375;5525;5300;59.62M;2.36%
07/21/2020;5300;5150;5450;5075;72.53M;3.92%
07/20/2020;5100;5175;5225;5050;26.06M;-1.45%
07/17/2020;5175;5275;5300;5175;30.09M;-1.90%
07/16/2020;5275;5275;5350;5250;21.93M;0.00%
07/15/2020;5275;5350;5425;5250;30.38M;-0.47%
07/14/2020;5300;5300;5325;5200;39.13M;0.95%
07/13/2020;5250;5250;5325;5225;36.34M;1.45%
07/10/2020;5175;5250;5275;5125;38.93M;-1.43%
07/09/2020;5250;5350;5400;5200;49.14M;-0.47%
07/08/2020;5275;5050;5350;5025;74.73M;4.46%
07/07/2020;5050;5125;5150;5050;40.22M;-0.49%
07/06/2020;5075;5000;5150;5000;45.01M;1.50%
07/03/2020;5000;4960;5075;4900;28.92M;0.00%
07/02/2020;5000;4980;5025;4960;40.30M;0.20%
07/01/2020;4990;5000;5025;4910;33.87M;0.81%
06/30/2020;4950;5025;5050;4950;57.00M;0.20%
06/29/2020;4940;4980;5000;4870;49.56M;-1.20%
06/26/2020;5000;5125;5150;4980;42.91M;-0.50%
06/25/2020;5025;5075;5200;4940;73.06M;-2.43%
06/24/2020;5150;4890;5200;4890;139.21M;7.52%
06/23/2020;4790;4850;4850;4690;47.51M;-0.42%
06/22/2020;4810;4880;4910;4800;33.41M;-1.43%
06/19/2020;4880;4880;4950;4820;63.18M;1.24%
06/18/2020;4820;4840;4970;4780;76.09M;-1.63%
06/17/2020;4900;5100;5200;4890;106.97M;-2.49%
06/16/2020;5025;4820;5050;4820;73.06M;6.46%
06/15/2020;4720;4850;4910;4690;84.91M;-3.48%
06/12/2020;4890;4590;4900;4430;144.98M;4.26%
06/11/2020;4690;4800;4870;4570;182.39M;-4.48%
06/10/2020;4910;5200;5225;4910;144.82M;-6.92%
06/09/2020;5275;5300;5450;5150;73.71M;0.48%
06/08/2020;5250;5000;5325;4950;146.30M;8.25%
06/05/2020;4850;4730;4870;4600;92.70M;2.54%
06/04/2020;4730;4900;5000;4720;84.92M;-2.67%
06/03/2020;4860;4670;4950;4590;148.30M;5.19%
06/02/2020;4620;4550;4990;4530;103.82M;3.36%
05/29/2020;4470;4290;4490;4250;175.27M;4.20%
05/28/2020;4290;4150;4340;4150;132.73M;4.38%
05/27/2020;4110;4150;4200;4010;62.16M;0.24%
05/26/2020;4100;4130;4160;4060;90.27M;0.74%
05/20/2020;4070;3850;4120;3830;118.82M;5.44%
05/19/2020;3860;3760;4000;3760;99.83M;3.76%
05/18/2020;3720;3800;3800;3660;79.36M;-1.06%
05/15/2020;3760;3950;3990;3680;113.62M;-4.81%
05/14/2020;3950;3970;4010;3900;70.69M;-1.50%
05/13/2020;4010;3990;4050;3900;67.41M;0.00%
05/12/2020;4010;4230;4230;4000;94.29M;-5.20%
05/11/2020;4230;4280;4280;4190;41.78M;0.71%
05/08/2020;4200;4200;4310;4180;63.74M;0.96%
05/06/2020;4160;4250;4260;4160;69.37M;-1.42%
05/05/2020;4220;4300;4400;4160;92.64M;-1.63%
05/04/2020;4290;4460;4460;4240;40.29M;-3.81%
04/30/2020;4460;4070;4480;4060;114.75M;11.50%
04/29/2020;4000;4200;4220;4000;96.33M;-3.61%
04/28/2020;4150;4190;4240;4070;78.69M;0.00%
04/27/2020;4150;4310;4350;4090;102.69M;-3.04%
04/24/2020;4280;4500;4500;4280;65.82M;-4.89%
04/23/2020;4500;4490;4570;4480;57.67M;0.22%
04/22/2020;4490;4330;4500;4250;63.39M;3.22%
04/21/2020;4350;4370;4410;4250;46.10M;-0.46%
04/20/2020;4370;4450;4530;4270;60.34M;-0.23%
04/17/2020;4380;4220;4420;4220;81.70M;4.04%
04/16/2020;4210;4400;4400;4150;107.61M;-4.32%
04/15/2020;4400;4640;4690;4400;62.33M;-3.72%
04/14/2020;4570;4480;4640;4400;66.42M;2.24%
04/13/2020;4470;4680;4680;4470;57.67M;-4.28%
04/09/2020;4670;4800;4900;4610;81.79M;-2.10%
04/08/2020;4770;5175;5175;4770;77.92M;-6.93%
04/07/2020;5125;5400;5600;4970;95.73M;-1.44%
04/06/2020;5200;5025;5225;4900;56.99M;3.48%
04/03/2020;5025;4800;5025;4800;52.61M;5.79%
04/02/2020;4750;4570;4750;4360;66.11M;3.04%
04/01/2020;4610;4650;4880;4440;76.18M;-1.50%
03/31/2020;4680;4650;4820;4450;104.02M;1.74%
03/30/2020;4600;4840;4840;4600;19.88M;-6.88%
03/27/2020;4940;4510;5225;4500;198.41M;10.51%
03/26/2020;4470;3800;4580;3780;193.28M;15.80%
03/24/2020;3860;4150;4230;3860;118.65M;-6.99%
03/23/2020;4150;4350;4350;4150;29.99M;-6.95%
03/20/2020;4460;4740;4740;4460;239.12M;-6.89%
03/19/2020;4790;5000;5000;4790;83.94M;-6.99%
03/18/2020;5150;5600;5650;5150;107.55M;-6.79%
03/17/2020;5525;5925;5925;5525;93.19M;-6.75%
03/16/2020;5925;6200;6200;5925;61.13M;-6.69%
03/13/2020;6350;6200;6475;6000;119.31M;-1.17%
03/12/2020;6425;6475;6675;6225;45.79M;-5.86%
03/11/2020;6825;6925;7050;6625;48.58M;-0.73%
03/10/2020;6875;6650;7000;6650;57.03M;4.56%
03/09/2020;6575;7000;7000;6575;56.57M;-9.31%
03/06/2020;7250;7400;7400;7225;36.16M;-4.61%
03/05/2020;7600;7550;7650;7500;52.37M;1.67%
03/04/2020;7475;7250;7500;7225;46.28M;3.82%
03/03/2020;7200;7100;7350;7025;48.22M;3.60%
03/02/2020;6950;7150;7250;6950;50.78M;-4.47%
02/28/2020;7275;6750;7275;6550;94.43M;-1.02%
02/27/2020;7350;7650;7700;7250;111.54M;-3.92%
02/26/2020;7650;7750;7750;7650;99.09M;-1.92%
02/25/2020;7800;7775;7900;7700;52.98M;0.32%
02/24/2020;7775;7800;7825;7650;64.38M;-1.58%
02/21/2020;7900;7950;8000;7825;45.90M;-1.25%
02/20/2020;8000;8025;8050;7925;57.27M;0.63%
02/19/2020;7950;7850;7950;7800;60.81M;1.60%
02/18/2020;7825;7800;7850;7800;32.72M;-0.32%
02/17/2020;7850;7850;7875;7800;14.91M;0.32%
02/14/2020;7825;7750;7850;7750;20.67M;-0.32%
02/13/2020;7850;7825;7950;7800;43.95M;0.64%
02/12/2020;7800;7825;7900;7775;52.34M;0.32%
02/11/2020;7775;7725;7825;7675;49.26M;0.65%
02/10/2020;7725;7700;7750;7600;39.28M;0.00%
02/07/2020;7725;7675;7750;7675;43.22M;0.32%
